Electoral wards and divisions Code,Electoral wards and divisions,Observation
E05000886,Allerton and Hunts Cross,2401.1
E05000887,Anfield,6309.7
E05000888,Belle Vale (Liverpool),3306.6
E05000889,Central (Liverpool),7688.7
E05000890,Childwall,4205
E05000891,Church (Liverpool),3925.9
E05000892,Clubmoor,5592.3
E05000893,County,7064.2
E05000894,Cressington,4780.9
E05000895,Croxteth,2724.9
E05000896,Everton (Liverpool),4867.7
E05000897,Fazakerley,2720.3
E05000898,Greenbank,7210.7
E05000899,Kensington and Fairfield,8239.2
E05000900,Kirkdale,3056.2
E05000901,Knotty Ash,4139.3
E05000902,Mossley Hill,3837.4
E05000903,Norris Green,7429.2
E05000904,Old Swan,6211.6
E05000905,Picton,6228.3
E05000906,Princes Park (Liverpool),7827.7
E05000907,Riverside (Liverpool),6120.7
E05000908,St Michael's (Liverpool),3790.6
E05000909,Speke-Garston,1741.8
E05000910,Tuebrook and Stoneycroft,6132.1
E05000911,Warbreck (Liverpool),5001.1
E05000912,Wavertree,4878.2
E05000913,West Derby,4445.5
E05000914,Woolton,3488.6
E05000915,Yew Tree,4750.5
