wardnumber,wardname,districtna,countyname,nocllrs,wd23cd
1,Aigburth,Liverpool,Merseyside,1,"E05015277
"
10,Childwall,Liverpool,Merseyside,2,"E05015286
"
11,Church,Liverpool,Merseyside,1,"E05015287
"
12,City Centre North,Liverpool,Merseyside,2,"E05015288
"
13,City Centre South,Liverpool,Merseyside,3,"E05015289
"
14,Clubmoor East,Liverpool,Merseyside,1,"E05015290
"
15,Clubmoor West,Liverpool,Merseyside,1,"E05015291
"
16,County,Liverpool,Merseyside,2,"E05015292
"
17,Croxteth,Liverpool,Merseyside,1,"E05015293
"
18,Croxteth Country Park,Liverpool,Merseyside,1,"E05015294
"
19,Dingle,Liverpool,Merseyside,2,"E05015295
"
2,Allerton,Liverpool,Merseyside,1,"E05015278
"
20,Edge Hill,Liverpool,Merseyside,1,"E05015296
"
21,Everton East,Liverpool,Merseyside,1,"E05015297
"
22,Everton North,Liverpool,Merseyside,1,"E05015298
"
23,Everton West,Liverpool,Merseyside,1,"E05015299
"
24,Fazakerley East,Liverpool,Merseyside,1,"E05015300
"
25,Fazakerley North,Liverpool,Merseyside,1,"E05015301
"
26,Fazakerley West,Liverpool,Merseyside,1,"E05015302
"
27,Festival Gardens,Liverpool,Merseyside,1,"E05015303
"
28,Garston,Liverpool,Merseyside,2,"E05015304
"
29,Gateacre,Liverpool,Merseyside,1,"E05015305
"
3,Anfield,Liverpool,Merseyside,2,"E05015279
"
30,Grassendale & Cressington,Liverpool,Merseyside,1,"E05015306
"
31,Greenbank Park,Liverpool,Merseyside,1,"E05015307
"
32,Kensington & Fairfield,Liverpool,Merseyside,3,"E05015308
"
33,Kirkdale East,Liverpool,Merseyside,1,"E05015309
"
34,Kirkdale West,Liverpool,Merseyside,1,"E05015310
"
35,Knotty Ash & Dovecot Park,Liverpool,Merseyside,1,"E05015311
"
36,Mossley Hill,Liverpool,Merseyside,1,"E05015312
"
37,Much Woolton & Hunts Cross,Liverpool,Merseyside,2,"E05015313
"
38,Norris Green,Liverpool,Merseyside,3,"E05015314
"
39,Old Swan East,Liverpool,Merseyside,1,"E05015315
"
4,Arundel,Liverpool,Merseyside,1,"E05015280
"
40,Old Swan West,Liverpool,Merseyside,1,"E05015316
"
41,Orrell Park,Liverpool,Merseyside,1,"E05015317
"
42,Penny Lane,Liverpool,Merseyside,1,"E05015318
"
43,Princes Park,Liverpool,Merseyside,1,"E05015319
"
44,Sandfield Park,Liverpool,Merseyside,1,"E05015320
"
45,Sefton Park,Liverpool,Merseyside,1,"E05015321
"
46,Smithdown,Liverpool,Merseyside,2,"E05015322
"
47,Speke,Liverpool,Merseyside,2,"E05015323
"
48,Springwood,Liverpool,Merseyside,1,"E05015324
"
49,St Michaels,Liverpool,Merseyside,1,"E05015325
"
5,Belle Vale,Liverpool,Merseyside,2,"E05015281
"
50,Stoneycroft,Liverpool,Merseyside,1,"E05015326
"
51,Toxteth,Liverpool,Merseyside,1,"E05015327
"
52,Tuebrook Breckside Park,Liverpool,Merseyside,1,"E05015328
"
53,Tuebrook Larkhill,Liverpool,Merseyside,1,"E05015329
"
54,Vauxhall,Liverpool,Merseyside,2,"E05015330
"
55,Walton,Liverpool,Merseyside,2,"E05015331
"
56,Waterfront North,Liverpool,Merseyside,1,"E05015332
"
57,Waterfront South,Liverpool,Merseyside,1,"E05015333
"
58,Wavertree Garden Suburb,Liverpool,Merseyside,1,"E05015334
"
59,Wavertree Village,Liverpool,Merseyside,1,"E05015335
"
6,Broadgreen,Liverpool,Merseyside,1,"E05015282
"
60,West Derby Deysbrook,Liverpool,Merseyside,1,"E05015336
"
61,West Derby Leyfield,Liverpool,Merseyside,1,"E05015337
"
62,West Derby Muirhead,Liverpool,Merseyside,1,"E05015338
"
63,Woolton Village,Liverpool,Merseyside,1,"E05015339
"
64,Yew Tree,Liverpool,Merseyside,2,"E05015340
"
7,Brownlow Hill,Liverpool,Merseyside,2,"E05015283
"
8,Calderstones,Liverpool,Merseyside,1,"E05015284
"
9,Canning,Liverpool,Merseyside,2,"E05015285
"
